Data;Dia da Semana;Nome do Cliente;Número da Mesa;Quantidade de Pessoas;Tipo de Pedido;Sabor;Quantidade;Massa;Retirar Ingredientes;Adicionar Ingredientes Extras;Tipo de Bebida;Marca/Sabor da Bebida;Quantidade de Bebidas;Especificação da Bebida;Quantidade de Copos;Quantidade de Pratos;Forma de Pagamento;Pedido para Viagem
2024-09-23;Monday;Carlos;47;9;Pizza;Corleone;4;Tradicional;Nenhum;Nenhum;"Suco;Refrigerante";"Suco Natural;Coca-Cola";"9;9";"Com Gelo;Com Gelo e Limão";18;18;Cartão de Débito;Não
2024-09-23;Monday;Helena;3;3;Pizza;Portuguesa;1;Fina;Sem tomate;Bacon extra;Água;Água Sem Gás;6;Com Gelo;6;3;Transferência;Não
2024-09-23;Monday;Ximena;35;3;Pizza;Nutella;1;Fina;Nenhum;Chocolate extra;Água;Água Sem Gás;6;Com Gelo;6;3;Transferência;Não
2024-09-23;Monday;Kevin;14;4;Pizza;Pepperoni;2;Fina;Sem tomate;Bacon extra;Refrigerante;Guaraná Antártica;4;Sem Gelo;4;4;Pix;Não
2024-09-23;Monday;Nathan;9;4;Pizza;Alho com Queijo;2;Fina;Nenhum;Queijo extra;Refrigerante;Guaraná Antártica;4;Sem Gelo;4;4;Pix;Não
2024-09-23;Monday;Davi;47;5;Esfiha;Queijo;20;Tradicional;Sem cebola;Nenhum;Refrigerante;Fanta Laranja;5;Com Gelo;5;10;Cartão de Crédito;Não
2024-09-23;Monday;Quésia;9;5;Esfiha;Zucchini ao Pesto;20;Tradicional;Nenhum;Nenhum;Refrigerante;Fanta Laranja;5;Com Gelo;5;10;Cartão de Crédito;Não
2024-09-23;Monday;Leonardo;18;3;Pizza;Queijo;1;Fina;Sem tomate;Bacon extra;Refrigerante;Fanta Laranja;3;Com Gelo e Limão;3;3;Cartão de Crédito;Não
2024-09-23;Monday;Miguel;10;6;Pizza;Pepperoni;3;Tradicional;Sem queijo;Bacon extra;Água;Água Sem Gás;12;Com Gelo;12;12;Cartão de Crédito;Sim
2024-09-23;Monday;Vinícius;26;6;Pizza;Corleone;3;Tradicional;Sem tomate;Cebola extra;Água;Água Sem Gás;12;Com Gelo;12;12;Cartão de Crédito;Sim
2024-09-23;Monday;Alice;33;3;Pizza;Mequi;1;Fina;Sem queijo;Cebola extra;Refrigerante;Fanta Laranja;3;Com Gelo e Limão;3;3;Cartão de Crédito;Não
2024-09-23;Monday;Mariana;25;5;Esfiha;Pepperoni;20;Tradicional;Sem cebola;Cebola extra;Vinho;Vinho Branco;2;Com Gelo e Limão;2;5;Cartão de Crédito;Sim
2024-09-23;Monday;Zeca;9;4;Esfiha;Bacon;16;Fina;Sem queijo;Nenhum;Cerveja;Corona;8;Sem Gelo;8;4;Dinheiro;Não
2024-09-23;Monday;Nina;17;1;Pizza;Alho com Queijo;0;Recheada;Nenhum;Bacon extra;Refrigerante;Pepsi;1;Sem Gelo;1;1;Cartão de Crédito;Sim
2024-09-23;Monday;Alice;7;3;Pizza;Pepperoni;1;Fina;Nenhum;Bacon extra;Suco;Suco de Frutas;3;Com Gelo e Limão;3;3;Pix;Não
2024-09-23;Monday;Kevin;37;9;Pizza;Chocolate;4;Tradicional;Sem morango;Leite condensado extra;"Suco;Refrigerante;Água";"Del Valle Laranja;Sprite;H2O";"9;9;18";"Com Gelo;Com Gelo e Limão;Com Gelo e Limão";36;9;Dinheiro;Não
2024-09-23;Monday;Gustavo;36;4;Pizza;Portuguesa;2;Tradicional;Sem queijo;Bacon extra;Cerveja;Corona;8;Com Gelo e Limão;8;4;Cartão de Crédito;Sim
2024-09-23;Monday;Helena;11;4;Pizza;Pepperoni;2;Tradicional;Nenhum;Nenhum;Suco;Del Valle Maracujá;4;Sem Gelo;4;4;Cartão de Débito;Não
2024-09-23;Monday;Cecília;28;4;Pizza;Nutella;2;Tradicional;Sem leite condensado;Morango extra;Cerveja;Corona;8;Com Gelo;8;4;Pix;Não
2024-09-23;Monday;Paulo;39;4;Pizza;Pepperoni;2;Tradicional;Nenhum;Nenhum;Cerveja;Brahma;8;Com Gelo;8;4;Dinheiro;Sim
2024-09-23;Monday;Quentin;41;4;Pizza;Siciliana;2;Tradicional;Sem tomate;Cebola extra;Cerveja;Brahma;8;Com Gelo;8;4;Dinheiro;Sim
2024-09-23;Monday;Helena;1;5;Pizza;Pistache;2;Fina;Sem chocolate;Leite condensado extra;Água;Água Mineral;10;Com Gelo e Limão;10;5;Dinheiro;Não
2024-09-23;Monday;Rafaela;13;5;Pizza;Alho com Queijo;2;Fina;Sem azeitonas;Bacon extra;Água;Água Mineral;10;Com Gelo e Limão;10;5;Dinheiro;Não
2024-09-23;Monday;Miguel;16;5;Pizza;Pepperoni;2;Fina;Sem cebola;Nenhum;Água;Água Mineral;10;Com Gelo e Limão;10;5;Dinheiro;Não
2024-09-23;Monday;Olívia;14;3;Esfiha;Portuguesa;12;Tradicional;Sem cebola;Catupiry extra;Refrigerante;Fanta Laranja;3;Sem Gelo;3;3;Pix;Sim
2024-09-23;Monday;Igor;47;3;Esfiha;Romeu e Julieta;12;Tradicional;Sem leite condensado;Leite condensado extra;Refrigerante;Fanta Laranja;3;Sem Gelo;3;3;Pix;Sim
2024-09-23;Monday;Vinícius;31;4;Pizza;Marguerita;2;Tradicional;Sem tomate;Nenhum;Suco;Del Valle Laranja;4;Com Gelo e Limão;4;4;Cartão de Crédito;Não
2024-09-23;Monday;Paulo;21;2;Pizza;Chocolate;1;Tradicional;Sem leite condensado;Nenhum;Refrigerante;Coca-Cola;2;Temperatura Ambiente;2;2;Pix;Não
2024-09-23;Monday;Helena;25;5;Pizza;Calabresa;2;Recheada;Sem cebola;Nenhum;Refrigerante;Sprite;5;Sem Gelo;5;5;Dinheiro;Sim
2024-09-23;Monday;Leonardo;13;5;Pizza;Siciliana;2;Recheada;Sem cebola;Catupiry extra;Refrigerante;Sprite;5;Sem Gelo;5;5;Dinheiro;Sim
2024-09-23;Monday;Lara;41;5;Pizza;Frango com Queijo;2;Recheada;Nenhum;Catupiry extra;Refrigerante;Sprite;5;Sem Gelo;5;5;Dinheiro;Sim
2024-09-23;Monday;Bruno;30;5;Esfiha;Marguerita;20;Tradicional;Nenhum;Nenhum;Drink;Mojito;5;Com Gelo;5;10;Cartão de Crédito;Sim
2024-09-23;Monday;Bernardo;14;5;Esfiha;Banana com Canela;20;Tradicional;Nenhum;Nenhum;Drink;Mojito;5;Com Gelo;5;10;Cartão de Crédito;Sim
2024-09-23;Monday;Kevin;32;10;Pizza;Alho com Queijo;5;Recheada;Sem cebola;Catupiry extra;Cerveja;Brahma;20;Sem Gelo;20;10;Cartão de Débito;Sim
2024-09-23;Monday;Bernardo;12;10;Pizza;Pepperoni;5;Recheada;Nenhum;Catupiry extra;Cerveja;Brahma;20;Sem Gelo;20;10;Cartão de Débito;Sim
2024-09-23;Monday;Nina;29;10;Pizza;Pistache;5;Recheada;Sem leite condensado;Leite condensado extra;Cerveja;Brahma;20;Sem Gelo;20;10;Cartão de Débito;Sim
2024-09-23;Monday;Ursula;4;6;Esfiha;Napoli ao Pesto;24;Fina;Nenhum;Nenhum;"Suco;Vinho";"Del Valle Maracujá;Vinho Branco";"6;3";"Com Gelo e Limão;Com Gelo";9;6;Transferência;Não
2024-09-23;Monday;Júlia;30;6;Esfiha;Marguerita;24;Fina;Sem cebola;Catupiry extra;"Suco;Vinho";"Del Valle Maracujá;Vinho Branco";"6;3";"Com Gelo e Limão;Com Gelo";9;6;Transferência;Não
2024-09-23;Monday;Ana;2;6;Esfiha;Bacon;24;Fina;Nenhum;Bacon extra;"Suco;Vinho";"Del Valle Maracujá;Vinho Branco";"6;3";"Com Gelo e Limão;Com Gelo";9;6;Transferência;Não
2024-09-23;Monday;Olívia;49;10;Pizza;Baiana;5;Recheada;Sem tomate;Nenhum;Cerveja;Brahma;20;Sem Gelo;20;10;Cartão de Débito;Sim
2024-09-23;Monday;Sabrina;10;8;Pizza;Nutella;4;Recheada;Sem leite condensado;Nenhum;"Suco;Drink";"Suco Natural;Margarita";"8;8";"Com Gelo;Sem Gelo";16;16;Pix;Não
2024-09-23;Monday;Fernanda;21;8;Pizza;Portuguesa;4;Recheada;Sem azeitonas;Bacon extra;"Suco;Drink";"Suco Natural;Margarita";"8;8";"Com Gelo;Sem Gelo";16;16;Pix;Não
2024-09-23;Monday;Paulo;34;3;Esfiha;Calabresa;12;Tradicional;Sem azeitonas;Catupiry extra;Suco;Del Valle Maracujá;3;Com Gelo;3;6;Pix;Sim
2024-09-23;Monday;Igor;6;3;Esfiha;Chocolate;12;Tradicional;Sem chocolate;Morango extra;Suco;Del Valle Maracujá;3;Com Gelo;3;6;Pix;Sim
2024-09-23;Monday;Eduardo;19;3;Pizza;Mequi;1;Tradicional;Sem cebola;Bacon extra;Suco;Del Valle Maracujá;3;Sem Gelo;3;3;Cartão de Crédito;Sim
2024-09-23;Monday;Nathan;44;5;Esfiha;Calabresa;20;Tradicional;Nenhum;Catupiry extra;Vinho;Vinho Branco;2;Com Gelo e Limão;2;5;Cartão de Crédito;Sim
2024-09-23;Monday;Carlos;36;4;Pizza;Romeu e Julieta;2;Tradicional;Sem morango;Leite condensado extra;Água;Água Sem Gás;8;Com Gelo;8;8;Pix;Não
2024-09-23;Monday;Carlos;36;4;Pizza;Pepperoni;2;Tradicional;Sem azeitonas;Bacon extra;Água;Água Sem Gás;8;Com Gelo;8;8;Pix;Não
2024-09-23;Monday;Fernanda;41;10;Esfiha;Romeu e Julieta;40;Fina;Nenhum;Leite condensado extra;"Refrigerante;Suco;Cerveja";"Fanta Laranja;Suco Natural;Brahma";"10;10;20";"Com Gelo;Com Gelo e Limão;Sem Gelo";40;20;Cartão de Crédito;Sim
2024-09-23;Monday;Lara;15;15;Pizza;Siciliana;7;Tradicional;Nenhum;Catupiry extra;"Refrigerante;Cerveja";"Guaraná Antártica;Heineken";"15;30";"Com Gelo e Limão;Sem Gelo";45;15;Pix;Sim
2024-09-23;Monday;Bruno;16;15;Pizza;Banana com Canela;7;Tradicional;Sem morango;Leite condensado extra;"Refrigerante;Cerveja";"Guaraná Antártica;Heineken";"15;30";"Com Gelo e Limão;Sem Gelo";45;15;Pix;Sim
2024-09-23;Monday;Elena;31;1;Pizza;Vegetariana;0;Recheada;Sem tomate;Cebola extra;Vinho;Vinho Branco;0;Sem Gelo;0;1;Dinheiro;Não
2024-09-23;Monday;Kevin;17;4;Pizza;Zucchini ao Pesto;2;Tradicional;Sem azeitonas;Nenhum;Suco;Suco Natural;4;Temperatura Ambiente;4;4;Cartão de Débito;Não
2024-09-23;Monday;Vinícius;24;12;Pizza;Siciliana;6;Tradicional;Nenhum;Nenhum;"Refrigerante;Suco";"Sprite;Del Valle Uva";"12;12";"Temperatura Ambiente;Sem Gelo";24;24;Cartão de Crédito;Sim
2024-09-23;Monday;Otávio;9;12;Pizza;Siciliana;6;Tradicional;Nenhum;Catupiry extra;"Refrigerante;Suco";"Sprite;Del Valle Uva";"12;12";"Temperatura Ambiente;Sem Gelo";24;24;Cartão de Crédito;Sim
2024-09-23;Monday;Paulo;18;12;Pizza;Banana com Canela;6;Tradicional;Nenhum;Leite condensado extra;"Refrigerante;Suco";"Sprite;Del Valle Uva";"12;12";"Temperatura Ambiente;Sem Gelo";24;24;Cartão de Crédito;Sim
2024-09-23;Monday;Sabrina;43;12;Pizza;Napolitana;6;Tradicional;Nenhum;Nenhum;"Refrigerante;Suco";"Sprite;Del Valle Uva";"12;12";"Temperatura Ambiente;Sem Gelo";24;24;Cartão de Crédito;Sim
2024-09-23;Monday;Bernardo;29;12;Pizza;Queijo;6;Tradicional;Sem azeitonas;Nenhum;"Refrigerante;Suco";"Sprite;Del Valle Uva";"12;12";"Temperatura Ambiente;Sem Gelo";24;24;Cartão de Crédito;Sim
2024-09-23;Monday;Kevin;40;6;Pizza;Corleone;3;Tradicional;Sem cebola;Bacon extra;"Cerveja;Suco";"Brahma;Del Valle Laranja";"12;6";"Com Gelo;Sem Gelo";18;12;Vale Refeição;Não
2024-09-23;Monday;Elena;24;3;Esfiha;Pepperoni;12;Tradicional;Nenhum;Catupiry extra;Refrigerante;Fanta Laranja;3;Com Gelo e Limão;3;6;Pix;Não
2024-09-23;Monday;Zeca;47;4;Pizza;Pistache;2;Fina;Nenhum;Chocolate extra;Refrigerante;Coca-Cola;4;Com Gelo;4;8;Cartão de Crédito;Sim
2024-09-23;Monday;Leonardo;20;4;Pizza;Baiana;2;Fina;Nenhum;Catupiry extra;Refrigerante;Coca-Cola;4;Com Gelo;4;8;Cartão de Crédito;Sim
2024-09-23;Monday;Pietra;7;12;Pizza;Bacon;6;Tradicional;Nenhum;Bacon extra;"Cerveja;Drink";"Antarctica;Mojito";"24;12";"Com Gelo e Limão;Com Gelo";36;24;Pix;Sim
2024-09-23;Monday;Thiago;31;15;Pizza;Calabresa;7;Tradicional;Nenhum;Nenhum;"Refrigerante;Cerveja";"Guaraná Antártica;Heineken";"15;30";"Com Gelo e Limão;Sem Gelo";45;15;Pix;Sim
2024-09-23;Monday;Elena;38;12;Pizza;Pistache;6;Tradicional;Sem morango;Nenhum;"Cerveja;Drink";"Antarctica;Mojito";"24;12";"Com Gelo e Limão;Com Gelo";36;24;Pix;Sim
2024-09-23;Monday;Miguel;44;6;Pizza;Pistache;3;Tradicional;Sem chocolate;Morango extra;"Refrigerante;Vinho";"Fanta Laranja;Vinho Branco";"6;3";"Com Gelo;Sem Gelo";9;6;Cartão de Crédito;Não
2024-09-23;Monday;Tatiana;49;6;Pizza;Napoli ao Pesto;3;Tradicional;Sem queijo;Bacon extra;"Refrigerante;Vinho";"Fanta Laranja;Vinho Branco";"6;3";"Com Gelo;Sem Gelo";9;6;Cartão de Crédito;Não
2024-09-23;Monday;Gabriel;2;8;Pizza;Baiana;4;Tradicional;Sem cebola;Queijo extra;Refrigerante;Guaraná Antártica;8;Temperatura Ambiente;8;16;Cartão de Débito;Não
2024-09-23;Monday;Kevin;14;8;Pizza;Bacon;4;Tradicional;Sem cebola;Catupiry extra;Refrigerante;Guaraná Antártica;8;Temperatura Ambiente;8;16;Cartão de Débito;Não
2024-09-23;Monday;Paulo;31;8;Pizza;Nutella;4;Tradicional;Nenhum;Chocolate extra;Refrigerante;Guaraná Antártica;8;Temperatura Ambiente;8;16;Cartão de Débito;Não
2024-09-23;Monday;Gustavo;41;8;Pizza;Calabresa;4;Tradicional;Sem cebola;Nenhum;Refrigerante;Guaraná Antártica;8;Temperatura Ambiente;8;16;Cartão de Débito;Não
2024-09-23;Monday;Fernanda;31;12;Pizza;Portuguesa;6;Tradicional;Sem tomate;Cebola extra;"Cerveja;Drink";"Antarctica;Mojito";"24;12";"Com Gelo e Limão;Com Gelo";36;24;Pix;Sim
2024-09-23;Monday;Lara;20;6;Pizza;Romeu e Julieta;3;Recheada;Sem chocolate;Chocolate extra;"Cerveja;Água";"Skol;H2O";"12;12";"Sem Gelo;Com Gelo e Limão";24;12;Transferência;Sim
2024-09-23;Monday;Igor;33;3;Esfiha;Napoli ao Pesto;12;Tradicional;Nenhum;Queijo extra;Refrigerante;Guaraná Antártica;3;Com Gelo;3;6;Cartão de Crédito;Sim
2024-09-23;Monday;Davi;11;6;Pizza;Baiana;3;Recheada;Nenhum;Bacon extra;"Cerveja;Água";"Skol;H2O";"12;12";"Sem Gelo;Com Gelo e Limão";24;12;Transferência;Sim
2024-09-23;Monday;Elena;47;7;Pizza;Bacon;3;Sem Glúten;Sem cebola;Bacon extra;Suco;Del Valle Maracujá;7;Sem Gelo;7;14;Transferência;Sim
2024-09-23;Monday;Júlia;10;7;Pizza;Nutella;3;Sem Glúten;Nenhum;Morango extra;Suco;Del Valle Maracujá;7;Sem Gelo;7;14;Transferência;Sim
2024-09-23;Monday;Mariana;10;4;Esfiha;Pistache;16;Fina;Sem morango;Chocolate extra;Suco;Suco de Frutas;4;Com Gelo e Limão;4;4;Pix;Sim
2024-09-23;Monday;Sabrina;17;12;Pizza;Napoli ao Pesto;6;Tradicional;Sem queijo;Queijo extra;"Cerveja;Drink";"Antarctica;Mojito";"24;12";"Com Gelo e Limão;Com Gelo";36;24;Pix;Sim
2024-09-23;Monday;Carlos;22;6;Pizza;Bacon;3;Tradicional;Nenhum;Bacon extra;"Refrigerante;Vinho";"Fanta Laranja;Vinho Branco";"6;3";"Com Gelo;Sem Gelo";9;6;Cartão de Crédito;Não
2024-09-23;Monday;Cecília;27;4;Pizza;Chocolate;2;Tradicional;Sem leite condensado;Chocolate extra;Suco;Suco Natural;4;Sem Gelo;4;4;Vale Refeição;Sim
2024-09-23;Monday;Leonardo;29;6;Pizza;Alho com Queijo;3;Tradicional;Nenhum;Catupiry extra;"Cerveja;Suco";"Brahma;Del Valle Laranja";"12;6";"Com Gelo;Sem Gelo";18;12;Vale Refeição;Não
2024-09-23;Monday;Gustavo;48;4;Pizza;Banana com Canela;2;Tradicional;Sem morango;Chocolate extra;Cerveja;Corona;8;Com Gelo e Limão;8;4;Cartão de Crédito;Sim
2024-09-23;Monday;Mariana;40;10;Esfiha;Nutella;40;Recheada;Nenhum;Nenhum;Refrigerante;Sprite;10;Com Gelo;10;20;Pix;Sim
2024-09-23;Monday;Rafaela;41;10;Esfiha;Pepperoni;40;Recheada;Sem tomate;Queijo extra;Refrigerante;Sprite;10;Com Gelo;10;20;Pix;Sim
2024-09-23;Monday;Quésia;20;10;Esfiha;Queijo;40;Recheada;Nenhum;Cebola extra;"Suco;Água;Cerveja";"Suco de Frutas;Água Sem Gás;Corona";"10;20;20";"Sem Gelo;Com Gelo e Limão;Com Gelo e Limão";50;20;Dinheiro;Não
2024-09-23;Monday;Olívia;1;10;Esfiha;Romeu e Julieta;40;Recheada;Nenhum;Morango extra;"Suco;Água;Cerveja";"Suco de Frutas;Água Sem Gás;Corona";"10;20;20";"Sem Gelo;Com Gelo e Limão;Com Gelo e Limão";50;20;Dinheiro;Não
2024-09-23;Monday;Quésia;34;10;Esfiha;Corleone;40;Recheada;Nenhum;Cebola extra;"Suco;Água;Cerveja";"Suco de Frutas;Água Sem Gás;Corona";"10;20;20";"Sem Gelo;Com Gelo e Limão;Com Gelo e Limão";50;20;Dinheiro;Não
2024-09-23;Monday;William;34;10;Esfiha;Napolitana;40;Recheada;Sem cebola;Cebola extra;"Suco;Água;Cerveja";"Suco de Frutas;Água Sem Gás;Corona";"10;20;20";"Sem Gelo;Com Gelo e Limão;Com Gelo e Limão";50;20;Dinheiro;Não
2024-09-23;Monday;Kevin;17;7;Esfiha;Banana com Canela;28;Tradicional;Nenhum;Nenhum;Suco;Del Valle Uva;7;Com Gelo;7;14;Cartão de Crédito;Sim
2024-09-23;Monday;Davi;7;7;Esfiha;Vegetariana;28;Tradicional;Sem tomate;Catupiry extra;Suco;Del Valle Uva;7;Com Gelo;7;14;Cartão de Crédito;Sim
2024-09-23;Monday;Sabrina;38;8;Pizza;Nutella;4;Tradicional;Sem morango;Nenhum;Vinho;Vinho Branco;4;Com Gelo e Limão;4;16;Cartão de Débito;Sim
2024-09-23;Monday;Lara;33;1;Pizza;Mequi;0;Fina;Nenhum;Bacon extra;Refrigerante;Fanta Laranja;1;Com Gelo;1;2;Pix;Não
2024-09-23;Monday;Thiago;40;10;Esfiha;Queijo;40;Recheada;Sem cebola;Catupiry extra;Refrigerante;Sprite;10;Com Gelo;10;20;Pix;Sim
2024-09-23;Monday;Leonardo;49;10;Esfiha;Bacon;40;Fina;Nenhum;Queijo extra;"Refrigerante;Suco;Cerveja";"Fanta Laranja;Suco Natural;Brahma";"10;10;20";"Com Gelo;Com Gelo e Limão;Sem Gelo";40;20;Cartão de Crédito;Sim
2024-09-23;Monday;Olívia;13;7;Esfiha;Corleone;28;Tradicional;Nenhum;Catupiry extra;Suco;Del Valle Uva;7;Com Gelo;7;14;Cartão de Crédito;Sim
2024-09-23;Monday;Fernanda;15;4;Pizza;Baiana;2;Tradicional;Sem cebola;Nenhum;Suco;Suco Natural;4;Sem Gelo;4;4;Vale Refeição;Sim
2024-09-23;Monday;Isaac;4;8;Pizza;Frango com Queijo;4;Tradicional;Nenhum;Catupiry extra;Vinho;Vinho Branco;4;Com Gelo e Limão;4;16;Cartão de Débito;Sim
2024-09-23;Monday;Yasmin;49;8;Pizza;Mequi;4;Tradicional;Sem queijo;Queijo extra;Vinho;Vinho Branco;4;Com Gelo e Limão;4;16;Cartão de Débito;Sim
2024-09-23;Monday;Pietra;45;8;Pizza;Calabresa;4;Tradicional;Nenhum;Catupiry extra;Vinho;Vinho Branco;4;Com Gelo e Limão;4;16;Cartão de Débito;Sim
2024-09-23;Monday;Tatiana;36;10;Esfiha;Zucchini ao Pesto;40;Fina;Sem cebola;Catupiry extra;"Refrigerante;Suco;Cerveja";"Fanta Laranja;Suco Natural;Brahma";"10;10;20";"Com Gelo;Com Gelo e Limão;Sem Gelo";40;20;Cartão de Crédito;Sim
2024-09-23;Monday;Cecília;48;2;Pizza;Marguerita;1;Fina;Sem cebola;Queijo extra;Cerveja;Heineken;4;Sem Gelo;4;4;Cartão de Crédito;Sim
2024-09-23;Monday;Quésia;40;15;Pizza;Frango com Queijo;7;Tradicional;Nenhum;Bacon extra;"Refrigerante;Cerveja";"Guaraná Antártica;Heineken";"15;30";"Com Gelo e Limão;Sem Gelo";45;15;Pix;Sim
2024-09-23;Monday;Heloísa;16;12;Pizza;Bacon;6;Tradicional;Sem azeitonas;Cebola extra;"Cerveja;Drink";"Antarctica;Mojito";"24;12";"Com Gelo e Limão;Com Gelo";36;24;Pix;Sim
2024-09-23;Monday;Elena;26;10;Esfiha;Marguerita;40;Fina;Nenhum;Bacon extra;"Refrigerante;Suco;Cerveja";"Fanta Laranja;Suco Natural;Brahma";"10;10;20";"Com Gelo;Com Gelo e Limão;Sem Gelo";40;20;Cartão de Crédito;Sim
2024-09-24;Tuesday;Zeca;27;2;Pizza;Portuguesa;1;Tradicional;Sem cebola;Cebola extra;Vinho;Vinho Branco;1;Com Gelo;1;2;Vale Refeição;Não
2024-09-24;Tuesday;Pietra;9;3;Pizza;Portuguesa;1;Tradicional;Nenhum;Bacon extra;Refrigerante;Guaraná Antártica;3;Sem Gelo;3;3;Pix;Não
2024-09-24;Tuesday;Daniela;39;6;Esfiha;Napolitana;24;Tradicional;Sem azeitonas;Bacon extra;Refrigerante;Guaraná Antártica;6;Temperatura Ambiente;6;6;Vale Refeição;Não
2024-09-24;Tuesday;Felipe;27;4;Esfiha;Marguerita;16;Tradicional;Sem cebola;Nenhum;Refrigerante;Fanta Laranja;4;Com Gelo e Limão;4;8;Cartão de Débito;Não
2024-09-24;Tuesday;William;13;6;Esfiha;Marguerita;24;Recheada;Nenhum;Bacon extra;"Refrigerante;Suco";"Sprite;Suco Natural";"6;6";"Temperatura Ambiente;Com Gelo";12;12;Dinheiro;Sim
2024-09-24;Tuesday;Paulo;39;8;Pizza;Calabresa;4;Fina;Sem tomate;Catupiry extra;Água;Água Sem Gás;16;Sem Gelo;16;16;Cartão de Crédito;Não
2024-09-24;Tuesday;Lara;25;5;Pizza;Napolitana;2;Tradicional;Sem azeitonas;Bacon extra;Suco;Suco de Frutas;5;Com Gelo;5;5;Pix;Não
2024-09-24;Tuesday;Tatiana;8;2;Pizza;Vegetariana;1;Recheada;Sem cebola;Catupiry extra;Suco;Suco Natural;2;Com Gelo;2;2;Pix;Sim
2024-09-24;Tuesday;Yasmin;19;4;Esfiha;Pepperoni;16;Fina;Sem cebola;Bacon extra;Refrigerante;Coca-Cola;4;Com Gelo;4;4;Cartão de Crédito;Não
2024-09-24;Tuesday;Gabriel;17;4;Esfiha;Siciliana;16;Fina;Nenhum;Nenhum;Refrigerante;Coca-Cola;4;Com Gelo;4;4;Cartão de Crédito;Não
